pair_id,search_path,ref_path,gt_x,gt_y,scale,rotation
0000,data/pairs/0000/search.png,data/pairs/0000/reference.png,510.93897566957054,505.7651183998126,10.0,-0.945305208356154
0001,data/pairs/0001/search.png,data/pairs/0001/reference.png,511.34249704388236,514.8535003577676,10.0,0.16656909655563013
0002,data/pairs/0002/search.png,data/pairs/0002/reference.png,508.1441496006618,508.6260738517123,10.0,0.4650476122331262
0003,data/pairs/0003/search.png,data/pairs/0003/reference.png,494.9329423565846,508.6746114847735,10.0,0.4370353111166989
0004,data/pairs/0004/search.png,data/pairs/0004/reference.png,498.37797030443045,506.04592023855906,10.0,-1.2886581701387558
0005,data/pairs/0005/search.png,data/pairs/0005/reference.png,522.9438013492692,510.2129826129473,10.0,0.023672133647884674
0006,data/pairs/0006/search.png,data/pairs/0006/reference.png,517.7772924255222,505.30355693620646,10.0,1.6245257314141894
0007,data/pairs/0007/search.png,data/pairs/0007/reference.png,476.61882177881273,511.588535699254,10.0,1.7715437159668128
0008,data/pairs/0008/search.png,data/pairs/0008/reference.png,472.42758937692156,523.8984679896284,10.0,1.4092151082355344
0009,data/pairs/0009/search.png,data/pairs/0009/reference.png,494.4195881849155,514.5829514283603,10.0,-0.8020072755833865
0010,data/pairs/0010/search.png,data/pairs/0010/reference.png,486.2567896869519,496.4662559771082,10.0,0.0917360779559071
0011,data/pairs/0011/search.png,data/pairs/0011/reference.png,502.6868160627012,471.02810739290203,10.0,0.11651668314313479
0012,data/pairs/0012/search.png,data/pairs/0012/reference.png,517.7709917976471,525.5708300583509,10.0,-1.9499709721895333
0013,data/pairs/0013/search.png,data/pairs/0013/reference.png,500.0292501583691,509.4320083077384,10.0,0.4496656481510586
0014,data/pairs/0014/search.png,data/pairs/0014/reference.png,512.0607271768591,480.4002570647065,10.0,1.2115490082901061
0015,data/pairs/0015/search.png,data/pairs/0015/reference.png,512.7740385873801,502.5950018655504,10.0,1.1806863674975538
0016,data/pairs/0016/search.png,data/pairs/0016/reference.png,515.4384249602123,480.23823405140524,10.0,1.5291250653573583
0017,data/pairs/0017/search.png,data/pairs/0017/reference.png,488.77610046893534,526.4498970855234,10.0,1.9123441774690106
0018,data/pairs/0018/search.png,data/pairs/0018/reference.png,525.9345958091152,486.83748693785066,10.0,-0.3847445264366707
0019,data/pairs/0019/search.png,data/pairs/0019/reference.png,476.1911051177428,478.1045229202129,10.0,-0.25704347554753904
0020,data/pairs/0020/search.png,data/pairs/0020/reference.png,521.7614943487397,474.86362721544424,10.0,-1.9644353570743607
0021,data/pairs/0021/search.png,data/pairs/0021/reference.png,526.2399116178069,490.70066026834405,10.0,-1.0265943028974562
0022,data/pairs/0022/search.png,data/pairs/0022/reference.png,512.5913100960656,485.3453512253793,10.0,-0.7676880335458951
0023,data/pairs/0023/search.png,data/pairs/0023/reference.png,519.8031672115529,474.5490758355986,10.0,-1.8259793361688121
0024,data/pairs/0024/search.png,data/pairs/0024/reference.png,480.39079562504435,508.6108899930035,10.0,0.9137099284586507
0025,data/pairs/0025/search.png,data/pairs/0025/reference.png,508.24505658991364,472.9003823278782,10.0,0.5195444170807368
0026,data/pairs/0026/search.png,data/pairs/0026/reference.png,484.4707380226747,517.0950318327854,10.0,1.6170269860251696
0027,data/pairs/0027/search.png,data/pairs/0027/reference.png,498.2099880903433,526.9179309495431,10.0,-1.2591260537966122
0028,data/pairs/0028/search.png,data/pairs/0028/reference.png,472.5736883854758,496.61996757831827,10.0,0.46486507479651706
0029,data/pairs/0029/search.png,data/pairs/0029/reference.png,492.6673344412712,527.7710958459638,10.0,-0.13896639026451618
0030,data/pairs/0030/search.png,data/pairs/0030/reference.png,494.61790740416365,526.3815567980341,10.0,-0.4245124893356005
0031,data/pairs/0031/search.png,data/pairs/0031/reference.png,475.61842331934713,472.490686873381,10.0,-1.6424561374259494
0032,data/pairs/0032/search.png,data/pairs/0032/reference.png,486.29011629736794,502.31549873350787,10.0,-1.870440169001248
0033,data/pairs/0033/search.png,data/pairs/0033/reference.png,512.2369934731075,472.58935537903614,10.0,-0.2697269422002311
0034,data/pairs/0034/search.png,data/pairs/0034/reference.png,528.3879303731477,485.4631235247902,10.0,1.9610658634480118
0035,data/pairs/0035/search.png,data/pairs/0035/reference.png,502.66269431338225,522.2647156277483,10.0,-0.8791881690769854
0036,data/pairs/0036/search.png,data/pairs/0036/reference.png,470.79845331182355,475.97625691900754,10.0,-0.23435977281501685
0037,data/pairs/0037/search.png,data/pairs/0037/reference.png,529.561441898488,513.7016273441336,10.0,0.6062525571096513
0038,data/pairs/0038/search.png,data/pairs/0038/reference.png,493.00745826547194,524.7837214664677,10.0,-0.48956329192880554
0039,data/pairs/0039/search.png,data/pairs/0039/reference.png,487.31511329875724,478.15642537814807,10.0,0.9670300853238314
0040,data/pairs/0040/search.png,data/pairs/0040/reference.png,496.94419015625135,522.1774779194138,10.0,0.8117883208463876
0041,data/pairs/0041/search.png,data/pairs/0041/reference.png,518.4837735856421,518.5273893284696,10.0,0.8647574308921637
0042,data/pairs/0042/search.png,data/pairs/0042/reference.png,491.30153353682385,486.48655398427763,10.0,1.6379875811359108
0043,data/pairs/0043/search.png,data/pairs/0043/reference.png,520.117735498703,496.56928064992246,10.0,-0.3395419618859754
0044,data/pairs/0044/search.png,data/pairs/0044/reference.png,484.24964467918073,522.1166446138544,10.0,-0.9134669974641172
0045,data/pairs/0045/search.png,data/pairs/0045/reference.png,491.9332791626703,508.6033209779528,10.0,1.9362363689542055
0046,data/pairs/0046/search.png,data/pairs/0046/reference.png,513.7457702193852,500.13668306726777,10.0,-1.062291071811913
0047,data/pairs/0047/search.png,data/pairs/0047/reference.png,493.95910753944054,515.9932811042075,10.0,-0.7330752580489839
0048,data/pairs/0048/search.png,data/pairs/0048/reference.png,510.6175195984206,497.51293406316256,10.0,1.0980369009142565
0049,data/pairs/0049/search.png,data/pairs/0049/reference.png,502.8304779018215,496.35586182930354,10.0,0.22897906999647377
0050,data/pairs/0050/search.png,data/pairs/0050/reference.png,487.4909539596999,503.12375099958854,10.0,1.898403977080287
0051,data/pairs/0051/search.png,data/pairs/0051/reference.png,513.01629040406,498.8179062290065,10.0,-1.528667684950984
0052,data/pairs/0052/search.png,data/pairs/0052/reference.png,508.7942914284633,477.0365233524569,10.0,0.990019631565517
0053,data/pairs/0053/search.png,data/pairs/0053/reference.png,471.5743278699328,523.806280213183,10.0,0.7057645091703111
0054,data/pairs/0054/search.png,data/pairs/0054/reference.png,491.6710953672576,507.6722730079277,10.0,-0.9771442234343555
0055,data/pairs/0055/search.png,data/pairs/0055/reference.png,484.9593598724975,522.2966735362143,10.0,-0.8956739386848365
0056,data/pairs/0056/search.png,data/pairs/0056/reference.png,495.8206047312781,494.5890089396231,10.0,-0.8060822147906719
0057,data/pairs/0057/search.png,data/pairs/0057/reference.png,495.54308416023497,506.84926974855273,10.0,1.4485499973548737
0058,data/pairs/0058/search.png,data/pairs/0058/reference.png,524.6360772090896,471.60682914588193,10.0,1.69288137836771
0059,data/pairs/0059/search.png,data/pairs/0059/reference.png,482.98532595302316,520.3296720248685,10.0,-1.58707240981883
0060,data/pairs/0060/search.png,data/pairs/0060/reference.png,508.0937058371267,475.7280206828865,10.0,-1.4874722567091823
0061,data/pairs/0061/search.png,data/pairs/0061/reference.png,474.83102323529744,520.935949990963,10.0,-1.2419252243709131
0062,data/pairs/0062/search.png,data/pairs/0062/reference.png,479.8995641217897,481.685530022841,10.0,-0.8500637993439155
0063,data/pairs/0063/search.png,data/pairs/0063/reference.png,500.2688635376795,472.72412591299127,10.0,-0.7841767320604873
0064,data/pairs/0064/search.png,data/pairs/0064/reference.png,522.9150327007227,502.78871633654035,10.0,-0.3657291177332085
0065,data/pairs/0065/search.png,data/pairs/0065/reference.png,503.67015711138356,496.2202609910398,10.0,-1.457558918315804
0066,data/pairs/0066/search.png,data/pairs/0066/reference.png,522.2601775730105,478.87388730143147,10.0,1.3641905381979926
0067,data/pairs/0067/search.png,data/pairs/0067/reference.png,478.8986705966066,493.1266411974153,10.0,-0.6496496379255494
0068,data/pairs/0068/search.png,data/pairs/0068/reference.png,508.32332803318326,474.4606005500321,10.0,-0.0512945614249527
0069,data/pairs/0069/search.png,data/pairs/0069/reference.png,497.98420145260445,498.407272413589,10.0,-0.1449076403063807
0070,data/pairs/0070/search.png,data/pairs/0070/reference.png,478.7797374602094,501.178122772682,10.0,0.8482776989081406
0071,data/pairs/0071/search.png,data/pairs/0071/reference.png,498.1829614399009,522.9850124850625,10.0,0.44715667689373406
0072,data/pairs/0072/search.png,data/pairs/0072/reference.png,489.311932273465,503.698934117067,10.0,-0.592270429878861
